Jz, D, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, prodSix, prodSiy, prodSiz
-4.0, -4.0, 0.5000000000000007, 0.5000000000000007, 1.0000000000000013, 1.164921215737455e-17, -1.1649212157374549e-17, 1.0000000000000013, 3.51053453466261e-17, -3.5105345346626423e-17, 1.0000000000000013, -8.052041108937993e-18, -8.052041108938001e-18, 1.0000000000000013
-4.0, -3.9, 0.5000000000000003, 0.5000000000000004, 1.0000000000000007, 6.281523672237264e-17, -6.281523672237277e-17, 1.0000000000000007, -2.64688484539398e-17, 2.6468848453939583e-17, 1.0000000000000007, 1.8480948339728742e-17, 1.8480948339728754e-17, 1.0000000000000007
-4.0, -3.8, 0.49999999999999956, 0.49999999999999967, 0.9999999999999992, 1.732633174842726e-17, -1.73263317484262e-17, 0.9999999999999992, -1.1460136349416646e-17, 1.1460136349416639e-17, 0.9999999999999992, 1.3852347952917326e-17, 1.3852347952917245e-17, 0.9999999999999992
-4.0, -3.6999999999999997, 0.5000000000000001, 0.49999999999999983, 1.0, -1.0110590747998247e-16, 1.0110590747998232e-16, 1.0, 7.270207308516165e-17, -7.270207308516222e-17, 1.0, 1.9750287601522617e-18, 1.975028760152388e-18, 1.0
-4.0, -3.5999999999999996, 0.5000000000000004, 0.5000000000000004, 1.0000000000000009, -2.1470081022704227e-17, 2.1470081022704168e-17, 1.0000000000000009, -4.523552577492881e-18, 4.5235525774927985e-18, 1.0000000000000009, 6.1981935948656715e-18, 6.198193594865678e-18, 1.0000000000000009
-4.0, -3.4999999999999996, 0.4999999999999999, 0.4999999999999999, 0.9999999999999998, -1.227717472971286e-17, 1.2277174729712833e-17, 0.9999999999999998, 2.9312695010180922e-18, -2.9312695010181057e-18, 0.9999999999999998, 2.633417896787383e-18, 2.633417896787383e-18, 0.9999999999999998
-4.0, -3.3999999999999995, 0.5000000000000003, 0.5000000000000003, 1.0000000000000007, 1.6277242731602828e-18, -1.6277242731603947e-18, 1.0000000000000007, 4.974689465426737e-18, -4.9746894654268195e-18, 1.0000000000000007, -6.680676522605195e-18, -6.680676522605196e-18, 1.0000000000000007
-4.0, -3.2999999999999994, 0.5000000000000006, 0.5000000000000007, 1.0000000000000013, 1.8500204834362745e-17, -1.8500204834362797e-17, 1.0000000000000013, 1.3259734494681413e-17, -1.3259734494681473e-17, 1.0000000000000013, 6.730225766530853e-18, 6.730225766530847e-18, 1.0000000000000013
-4.0, -3.1999999999999993, 0.5, 0.5, 1.0, -6.797752674389825e-18, 6.797752674389762e-18, 1.0, -3.026609064328982e-18, 3.0266090643289945e-18, 1.0, -7.368827634571816e-18, -7.368827634571817e-18, 1.0
-4.0, -3.099999999999999, 0.5000000000000001, 0.5000000000000002, 1.0000000000000004, 3.314618449075043e-17, -3.314618449075125e-17, 1.0000000000000004, 1.2707320701775903e-19, -1.2707320701634154e-19, 1.0000000000000004, -1.3001425279492911e-17, -1.3001425279492856e-17, 1.0000000000000004
