Delta, delta, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, prodSix, prodSiy, prodSiz
-1.5, 0.0, -2.3517396772404817e-17, 2.3517396772398376e-17, 1.0000000000000004, 1.6682695013921487e-17, -1.6682695013915123e-17, 1.0000000000000004, -2.5055931464796917e-17, 2.5055931464790798e-17, 1.0000000000000004, 4.222389159657427e-16, 4.222389159657447e-16, 1.0000000000000004
-1.5, 0.0125, -1.1649670195230173e-16, 1.1649670195229971e-16, 0.9999999999999993, 1.2555210403360467e-16, -1.255521040336024e-16, 0.9999999999999993, -2.0877436452481981e-16, 2.0877436452481737e-16, 0.9999999999999993, -1.1457732798285278e-16, -1.145773279828524e-16, 0.9999999999999993
-1.5, 0.025, -4.6480415208954714e-17, 4.648041520895348e-17, 0.9999999999999998, 6.792193533621284e-17, -6.792193533621163e-17, 0.9999999999999998, -6.118391528661182e-17, 6.118391528661052e-17, 0.9999999999999998, -3.006481885415038e-17, -3.006481885415032e-17, 0.9999999999999998
-1.5, 0.037500000000000006, 1.0660334106331998e-17, -1.0660334106333049e-17, 1.0000000000000002, -6.138825097725746e-18, 6.138825097726634e-18, 1.0000000000000002, -4.4339042996801385e-17, 4.433904299680046e-17, 1.0000000000000002, -3.247564365568467e-17, -3.247564365568467e-17, 1.0000000000000002
-1.5, 0.05, 1.5675349800497525e-16, -1.5675349800497594e-16, 1.0000000000000004, -1.8322121574431965e-16, 1.8322121574432032e-16, 1.0000000000000004, 1.3726900914392735e-16, -1.37269009143928e-16, 1.0000000000000004, 7.407080433982288e-19, 7.407080433982396e-19, 1.0000000000000004
-1.5, 0.0625, 3.320799636685903e-17, -3.3207996366859055e-17, 0.9999999999999998, 4.278467054432718e-17, -4.2784670544327163e-17, 0.9999999999999998, -2.7077940597912688e-17, 2.7077940597912675e-17, 0.9999999999999998, -4.861688706928068e-18, -4.861688706928062e-18, 0.9999999999999998
-1.5, 0.07500000000000001, -8.393904724871493e-17, 8.393904724871451e-17, 1.0, 5.684568133321316e-17, -5.684568133321272e-17, 1.0, -1.153967593037135e-16, 1.1539675930371306e-16, 1.0, 2.2050597030628778e-17, 2.2050597030628734e-17, 1.0
-1.5, 0.08750000000000001, -1.659965022815386e-16, 1.6599650228153826e-16, 1.0, 1.517109856751417e-16, -1.517109856751415e-16, 1.0, -1.2762567963322038e-16, 1.2762567963322014e-16, 1.0, 1.593358506144247e-17, 1.5933585061442443e-17, 1.0
-1.5, 0.1, 1.1867182695797239e-17, -1.1867182695797857e-17, 0.9999999999999997, -8.988224208225808e-18, 8.988224208226437e-18, 0.9999999999999997, 1.9813173031892073e-17, -1.9813173031892708e-17, 0.9999999999999997, -4.647939848569481e-18, -4.647939848569435e-18, 0.9999999999999997
-1.5, 0.1125, 1.0829463728289833e-17, -1.0829463728289882e-17, 0.9999999999999986, 1.1522258424362838e-17, -1.1522258424362758e-17, 0.9999999999999986, 4.796213078721379e-17, -4.7962130787213824e-17, 0.9999999999999986, 5.228406491667033e-18, 5.2284064916670086e-18, 0.9999999999999986
-1.5, 0.125, 1.2027281463104686e-16, -1.202728146310484e-16, 1.0000000000000009, -1.1133602127234195e-16, 1.1133602127234348e-16, 1.0000000000000009, 1.3232119485708326e-16, -1.3232119485708461e-16, 1.0000000000000009, -1.84555816030252e-17, -1.8455581603025124e-17, 1.0000000000000009
-1.5, 0.1375, 2.8140314193968623e-18, -2.8140314193983934e-18, 0.9999999999999999, 2.2793272550300545e-18, -2.2793272550285334e-18, 0.9999999999999999, -1.0504524674056416e-17, 1.0504524674054901e-17, 0.9999999999999999, 3.3227995541122073e-18, 3.322799554112145e-18, 0.9999999999999999
-1.5, 0.15000000000000002, 1.5421832598966726e-17, -1.5421832598968402e-17, 1.000000000000001, 1.553568759206403e-17, -1.5535687592062294e-17, 1.000000000000001, 1.678962675555034e-17, -1.678962675555204e-17, 1.000000000000001, 1.524758571528386e-17, 1.5247585715283973e-17, 1.000000000000001
-1.5, 0.1625, 1.2180538905803357e-17, -1.2180538905803668e-17, 1.0, -1.1075954057874914e-17, 1.1075954057875204e-17, 1.0, 5.417498038961381e-17, -5.4174980389614134e-17, 1.0, -1.2757128812257589e-17, -1.2757128812257604e-17, 1.0
-1.5, 0.17500000000000002, -2.754620113118015e-17, 2.7546201131179474e-17, 0.9999999999999999, 2.5692505957763072e-17, -2.5692505957762456e-17, 0.9999999999999999, -4.091736120266944e-18, 4.091736120266297e-18, 0.9999999999999999, -5.52199675882282e-18, -5.521996758822842e-18, 0.9999999999999999
-1.5, 0.1875, 3.148884690199438e-18, -3.148884690199669e-18, 1.0, 6.466075115184881e-18, -6.466075115184672e-18, 1.0, -7.826849754684116e-17, 7.826849754684095e-17, 1.0, -5.901475502930607e-18, -5.9014755029306716e-18, 1.0
-1.5, 0.2, 4.7800141762235483e-17, -4.78001417622355e-17, 1.0000000000000002, -5.316307981517336e-17, 5.3163079815173394e-17, 1.0000000000000002, 2.0786690964943928e-17, -2.0786690964943958e-17, 1.0000000000000002, 5.684198177206345e-18, 5.684198177206332e-18, 1.0000000000000002
-1.5, 0.21250000000000002, 5.4097739331776493e-17, -5.409773933177732e-17, 0.9999999999999996, -9.024556362085596e-17, 9.02455636208568e-17, 0.9999999999999996, 5.612717844110569e-17, -5.612717844110645e-17, 0.9999999999999996, 1.0620570824219251e-17, 1.0620570824219746e-17, 0.9999999999999996
-1.5, 0.225, 2.964679840661879e-16, -2.964679840661891e-16, 1.000000000000001, -2.742374494245954e-16, 2.7423744942459663e-16, 1.000000000000001, 3.6466185790690013e-16, -3.646618579069013e-16, 1.000000000000001, -4.0112822852169914e-17, -4.011282285217016e-17, 1.000000000000001
-1.5, 0.23750000000000002, 1.5419506920863224e-16, -1.5419506920863347e-16, 1.0000000000000016, -1.4403610670278713e-16, 1.4403610670278846e-16, 1.0000000000000016, 8.29056280051761e-17, -8.290562800517714e-17, 1.0000000000000016, -5.138028608760597e-17, -5.138028608760584e-17, 1.0000000000000016
-1.5, 0.25, 5.92707810969059e-17, -5.927078109691172e-17, 1.0000000000000002, -1.1697922446128844e-16, 1.169792244612944e-16, 1.0000000000000002, 1.5733384530134788e-16, -1.5733384530135402e-16, 1.0000000000000002, -5.9083220434167746e-18, -5.908322043416442e-18, 1.0000000000000002
-1.5, 0.2625, -7.41878603972795e-17, 7.418786039727897e-17, 0.9999999999999989, 5.724827071213036e-17, -5.724827071212982e-17, 0.9999999999999989, -1.404016036292369e-16, 1.4040160362923625e-16, 0.9999999999999989, 1.551248865565725e-18, 1.5512488655658188e-18, 0.9999999999999989
-1.5, 0.275, 1.5439190045858033e-16, -1.543919004585814e-16, 1.0000000000000004, -1.416603511384358e-16, 1.4166035113843688e-16, 1.0000000000000004, 1.8898446658362752e-16, -1.889844665836285e-16, 1.0000000000000004, -5.0567027012710435e-18, -5.05670270127112e-18, 1.0000000000000004
-1.5, 0.28750000000000003, 1.8806713518221424e-16, -1.8806713518221646e-16, 0.9999999999999996, -2.1409686023172327e-16, 2.1409686023172552e-16, 0.9999999999999996, 2.7630820536699187e-16, -2.7630820536699394e-16, 0.9999999999999996, -1.0179441341927025e-18, -1.0179441341928342e-18, 0.9999999999999996
-1.5, 0.30000000000000004, 8.218612987812422e-17, -8.218612987812606e-17, 0.9999999999999998, -6.356909470222324e-17, 6.356909470222507e-17, 0.9999999999999998, 1.666786716464897e-16, -1.6667867164649204e-16, 0.9999999999999998, 2.8743324007250166e-17, 2.874332400725031e-17, 0.9999999999999998
-1.5, 0.3125, -2.0062978447035865e-16, 2.0062978447035357e-16, 0.9999999999999987, 2.4862462866882605e-16, -2.4862462866882093e-16, 0.9999999999999987, -1.966040801750613e-16, 1.9660408017505663e-16, 0.9999999999999987, 3.106433400231426e-17, 3.10643340023163e-17, 0.9999999999999987
-1.5, 0.325, -1.5807652822160746e-16, 1.580765282216069e-16, 1.0000000000000009, 1.4684682005036837e-16, -1.4684682005036782e-16, 1.0000000000000009, -1.7227302049416785e-16, 1.722730204941673e-16, 1.0000000000000009, 1.730478522516143e-17, 1.7304785225161413e-17, 1.0000000000000009
-1.5, 0.3375, -5.000805444047441e-17, 5.00080544404724e-17, 1.0000000000000007, 1.8146890429051612e-17, -1.8146890429049572e-17, 1.0000000000000007, -4.5806866049200814e-17, 4.580686604919878e-17, 1.0000000000000007, -8.319398225973801e-18, -8.319398225973816e-18, 1.0000000000000007
-1.5, 0.35000000000000003, -1.3449164508218885e-16, 1.3449164508218502e-16, 0.9999999999999973, 1.0388870419513058e-16, -1.0388870419512693e-16, 0.9999999999999973, -2.3445347074653976e-16, 2.3445347074653547e-16, 0.9999999999999973, -1.5260570358466536e-17, -1.526057035846628e-17, 0.9999999999999973
-1.5, 0.36250000000000004, 4.0548885096307835e-17, -4.054888509631662e-17, 1.0000000000000004, -7.120643415445672e-17, 7.120643415446484e-17, 1.0000000000000004, 7.544345174820299e-17, -7.544345174821121e-17, 1.0000000000000004, -9.391514607396445e-17, -9.391514607396451e-17, 1.0000000000000004
-1.5, 0.375, 5.745785194306927e-17, -5.745785194306938e-17, 1.0000000000000007, -5.151070782761554e-17, 5.151070782761563e-17, 1.0000000000000007, 3.657960689413474e-17, -3.657960689413492e-17, 1.0000000000000007, -5.4472410976344717e-17, -5.447241097634472e-17, 1.0000000000000007
-1.5, 0.3875, -3.227073517433659e-17, 3.227073517433527e-17, 1.0000000000000024, 9.697656117425527e-18, -9.697656117424236e-18, 1.0000000000000024, 3.726254380264991e-17, -3.726254380265114e-17, 1.0000000000000024, 1.407197532109781e-17, 1.4071975321098653e-17, 1.0000000000000024
-1.5, 0.4, -2.317736020104914e-17, 2.3177360201045962e-17, 1.000000000000002, -5.306198594911368e-17, 5.306198594911692e-17, 1.000000000000002, -9.63360894226241e-18, 9.63360894225905e-18, 1.000000000000002, -2.5581542107427785e-16, -2.558154210742767e-16, 1.000000000000002
-1.5, 0.41250000000000003, 2.47475048207307e-16, -2.4747504820731106e-16, 0.9999999999999997, -2.8651997686794697e-16, 2.8651997686795116e-16, 0.9999999999999997, 4.933313004894634e-16, -4.933313004894674e-16, 0.9999999999999997, 9.790385701835688e-17, 9.790385701835701e-17, 0.9999999999999997
-1.5, 0.42500000000000004, -9.836186698812315e-17, 9.836186698812287e-17, 1.0000000000000004, 1.051270322476086e-16, -1.0512703224760833e-16, 1.0000000000000004, -8.432739484902756e-17, 8.432739484902686e-17, 1.0000000000000004, 2.559721320269757e-17, 2.5597213202697596e-17, 1.0000000000000004
-1.5, 0.4375, 1.042241548259553e-18, -1.0422415482621291e-18, 0.999999999999999, 1.0169821902909502e-17, -1.0169821902907015e-17, 0.999999999999999, 5.782344643938134e-17, -5.782344643938407e-17, 0.999999999999999, 2.2807761244009295e-17, 2.2807761244009123e-17, 0.999999999999999
-1.5, 0.45, 1.811387104438058e-16, -1.8113871044380674e-16, 1.0000000000000007, -1.6126394138883253e-16, 1.6126394138883342e-16, 1.0000000000000007, 2.413864122392638e-16, -2.4138641223926463e-16, 1.0000000000000007, -8.720431472739176e-17, -8.720431472739189e-17, 1.0000000000000007
-1.5, 0.4625, -1.7080167986093282e-16, 1.708016798609315e-16, 0.9999999999999994, 1.9788681676481623e-16, -1.9788681676481494e-16, 0.9999999999999994, -2.7397984550432375e-16, 2.7397984550432247e-16, 0.9999999999999994, 1.650587234474683e-17, 1.650587234474676e-17, 0.9999999999999994
-1.5, 0.47500000000000003, -1.0790020222717253e-16, 1.0790020222716914e-16, 0.9999999999999992, 1.4387992339898764e-16, -1.438799233989844e-16, 0.9999999999999992, -5.23833699321136e-16, 5.238336993211325e-16, 0.9999999999999992, -2.2221804437390145e-17, -2.222180443739008e-17, 0.9999999999999992
-1.5, 0.48750000000000004, 5.710151396827654e-17, -5.710151396827755e-17, 0.9999999999999998, -3.774132204301393e-17, 3.7741322043015053e-17, 0.9999999999999998, 3.068999519434309e-16, -3.068999519434323e-16, 0.9999999999999998, 2.265075932042781e-18, 2.265075932042785e-18, 0.9999999999999998
-1.5, 0.5, -4.949235220061211e-17, 4.9492352200611694e-17, 0.9999999999999997, 5.129266032728294e-17, -5.1292660327282544e-17, 0.9999999999999997, -1.2228010853818021e-16, 1.2228010853817972e-16, 0.9999999999999997, -4.737472437502825e-17, -4.7374724375028195e-17, 0.9999999999999997
-1.5, 0.5125000000000001, 5.1610136210630376e-17, -5.1610136210630376e-17, 1.0, -2.4439584373659353e-18, 2.443958437365883e-18, 1.0, -1.2050821460018018e-16, 1.2050821460018008e-16, 1.0, -7.208995531564922e-18, -7.208995531564908e-18, 1.0
-1.5, 0.525, 6.51796779651143e-17, -6.517967796511571e-17, 1.0, -1.1697886289095755e-17, 1.1697886289097095e-17, 1.0, 7.137484334476719e-17, -7.137484334476862e-17, 1.0, -1.721571663814268e-17, -1.721571663814271e-17, 1.0
