Delta, delta, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
-1.5, 0.0, 0.5000000000000078, 0.5000000000000078, 1.0000000000000155, -8.302235439954272e-17, 8.302235439954061e-17, 1.0000000000000155, 5.2734857014272126e-17, -5.2734857014270185e-17, 1.0000000000000155, 6.200232448097786e-19, -6.200232448111838e-19, 1.0000000000000155, -1.2754209899177445e-17, 1.2754209899178477e-17, 1.0000000000000155, -2.3935441341912996e-17, 2.393544134191191e-17, 1.0000000000000155, 4.0806592750509086e-17, -4.0806592750507866e-17, 1.0000000000000155, 4.7240494500750934e-20, 4.724049450075068e-20, 1.0000000000000155
-1.5, 0.0125, 0.5000000000000008, 0.5000000000000007, 1.0000000000000016, -1.134299711576358e-16, 1.134299711576343e-16, 1.0000000000000016, 1.1470231635535247e-16, -1.1470231635535163e-16, 1.0000000000000016, -1.3706846570431297e-16, 1.3706846570431258e-16, 1.0000000000000016, 1.0030951966324328e-16, -1.0030951966324288e-16, 1.0000000000000016, -5.2921446604102297e-17, 5.2921446604101754e-17, 1.0000000000000016, 2.441747012079785e-17, -2.4417470120797337e-17, 1.0000000000000016, -6.339895454471022e-20, -6.339895454471146e-20, 1.0000000000000016
-1.5, 0.025, 0.49999999999999306, 0.49999999999999334, 0.9999999999999862, 4.235179286182155e-16, -4.235179286182355e-16, 0.9999999999999862, -2.9808226713527873e-16, 2.980822671352982e-16, 0.9999999999999862, 1.8171030280727344e-16, -1.8171030280729164e-16, 0.9999999999999862, -1.1281445030784389e-16, 1.1281445030785996e-16, 0.9999999999999862, 1.1507895920548656e-16, -1.1507895920550288e-16, 0.9999999999999862, -1.2628099333801497e-16, 1.2628099333803196e-16, 0.9999999999999862, -2.0878362748278682e-20, -2.08783627482804e-20, 0.9999999999999862
-1.5, 0.037500000000000006, 0.5000000000000046, 0.5000000000000048, 1.0000000000000093, 9.775415690413649e-17, -9.775415690414073e-17, 1.0000000000000093, -1.240182747348185e-16, 1.240182747348214e-16, 1.0000000000000093, 1.6983682961695108e-16, -1.698368296169529e-16, 1.0000000000000093, -1.533582387985291e-16, 1.5335823879853088e-16, 1.0000000000000093, 7.602386113254435e-17, -7.602386113254673e-17, 1.0000000000000093, -2.2684550623134467e-17, 2.268455062313692e-17, 1.0000000000000093, 2.919948328639013e-20, 2.9199483286389735e-20, 1.0000000000000093
-1.5, 0.05, 0.4999999999999957, 0.4999999999999956, 0.9999999999999915, -1.5857357310570821e-16, 1.5857357310570772e-16, 0.9999999999999915, 1.0506324168742766e-16, -1.0506324168742737e-16, 0.9999999999999915, -4.7514402053231896e-17, 4.7514402053231834e-17, 0.9999999999999915, 3.753027469709955e-17, -3.7530274697099626e-17, 0.9999999999999915, -3.842024053799657e-17, 3.84202405379967e-17, 0.9999999999999915, 5.655449545178793e-17, -5.655449545178798e-17, 0.9999999999999915, -7.190820874779696e-20, -7.190820874779826e-20, 0.9999999999999915
-1.5, 0.0625, 0.4999999999999943, 0.4999999999999944, 0.9999999999999887, 1.268309604069272e-16, -1.2683096040692915e-16, 0.9999999999999887, -1.154574365331315e-16, 1.1545743653313285e-16, 0.9999999999999887, 1.5262381201578722e-16, -1.5262381201578796e-16, 0.9999999999999887, -1.6524618814595377e-16, 1.6524618814595475e-16, 0.9999999999999887, 7.081045621340763e-17, -7.081045621340848e-17, 0.9999999999999887, -2.711471793281823e-17, 2.7114717932819098e-17, 0.9999999999999887, 5.1321162377256423e-20, 5.132116237725047e-20, 0.9999999999999887
-1.5, 0.07500000000000001, 0.5000000000000023, 0.5000000000000027, 1.000000000000005, 3.347307958679934e-16, -3.347307958679999e-16, 1.000000000000005, -2.596661913905768e-16, 2.596661913905828e-16, 1.000000000000005, 2.059616678335528e-16, -2.0596166783355716e-16, 1.000000000000005, -1.623483023997819e-16, 1.6234830239978452e-16, 1.000000000000005, 1.1809667567148195e-16, -1.180966756714837e-16, 1.000000000000005, -8.74775394155169e-17, 8.747753941551932e-17, 1.000000000000005, 1.7506767996639905e-20, 1.7506767996638918e-20, 1.000000000000005
-1.5, 0.08750000000000001, 0.5000000000000031, 0.5000000000000031, 1.0000000000000062, 5.360606967922099e-18, -5.36060696792331e-18, 1.0000000000000062, 4.8328722387411507e-17, -4.832872238741054e-17, 1.0000000000000062, -8.012511234816972e-17, 8.01251123481691e-17, 1.0000000000000062, 1.2054723530637226e-16, -1.2054723530637172e-16, 1.0000000000000062, -4.5156059113112814e-17, 4.515605911311226e-17, 1.0000000000000062, 1.3287828348409278e-17, -1.3287828348408748e-17, 1.0000000000000062, 2.2196262750418143e-20, 2.2196262750417547e-20, 1.0000000000000062
-1.5, 0.1, 0.5000000000000046, 0.5000000000000046, 1.000000000000009, 1.3097005443363662e-16, -1.3097005443363803e-16, 1.000000000000009, -8.141030570250883e-17, 8.141030570250972e-17, 1.000000000000009, -4.657062136599154e-18, 4.65706213659892e-18, 1.000000000000009, 8.657240546567214e-18, -8.657240546567263e-18, 1.000000000000009, 2.836021235266697e-17, -2.836021235266687e-17, 1.000000000000009, -7.186436689834698e-17, 7.186436689834693e-17, 1.000000000000009, 7.56230815179551e-20, 7.562308151795466e-20, 1.000000000000009
-1.5, 0.1125, 0.4999999999999978, 0.49999999999999795, 0.9999999999999958, 2.000972122536501e-16, -2.000972122536514e-16, 0.9999999999999958, -1.4945350236238494e-16, 1.4945350236238603e-16, 0.9999999999999958, 1.4667313248023953e-16, -1.4667313248024022e-16, 0.9999999999999958, -1.374474032351439e-16, 1.3744740323514433e-16, 0.9999999999999958, 7.301277934685451e-17, -7.30127793468548e-17, 0.9999999999999958, -4.670513134202095e-17, 4.670513134202128e-17, 0.9999999999999958, 6.676238615839402e-20, 6.676238615839419e-20, 0.9999999999999958
