theta, -1, S1S1x, S1S1y, S1S1z, S1S2x, S1S2y, S1S2z, S1S3x, S1S3y, S1S3z, S1S4x, S1S4y, S1S4z, S1S5x, S1S5y, S1S5z, S1S6x, S1S6y, S1S6z, S1S7x, S1S7y, S1S7z, prodSix, prodSiy, prodSiz
0,-1,0.666666666666672,0.666666666666672,0.666666666666671,-0.468598781652169,-0.468598781652169,-0.468598781652174,0.259185428472001,0.259185428472001,0.259185428471998,-0.210757065494743,-0.210757065494742,-0.210757065494742,0.168147828699864,0.168147828699864,0.168147828699864,-0.154028117374523,-0.154028117374522,-0.154028117374523,0.145434748032472,0.145434748032471,0.145434748032472,0.0632472812260026,0.0632472812260025,0.0632472812260035
0.0005,-1,0.666666666666668,0.666666666666669,0.666666666666658,-0.468598745395073,-0.468598745395073,-0.468598745395076,0.25911360178863,0.25911360178863,0.259113601788627,-0.210627949081979,-0.21062794908198,-0.210627949081983,0.168007645336988,0.168007645336988,0.168007645336987,-0.153866975090529,-0.153866975090529,-0.153866975090532,0.145278178217281,0.145278178217281,0.145278178217278,0.0631819599598752,0.0631819599598752,0.0631819599598765
0.001,-1,0.666666666666664,0.666666666666664,0.666666666666658,-0.468598636513501,-0.4685986365135,-0.4685986365135,0.259041509210628,0.259041509210627,0.259041509210624,-0.210498459344087,-0.210498459344086,-0.210498459344087,0.167867092962838,0.167867092962838,0.167867092962838,-0.15370545736058,-0.15370545736058,-0.153705457360581,0.145121235422745,0.145121235422745,0.145121235422744,0.0631165724388557,0.0631165724388556,0.0631165724388555
0.0015,-1,0.666666666666667,0.666666666666667,0.666666666666661,-0.468598454841741,-0.468598454841741,-0.468598454841742,0.258969150348231,0.258969150348231,0.258969150348233,-0.210368595823646,-0.210368595823646,-0.210368595823645,0.167726171283984,0.167726171283984,0.167726171283983,-0.153543564058356,-0.153543564058357,-0.153543564058357,0.14496391951639,0.14496391951639,0.144963919516391,0.0630511186654925,0.0630511186654927,0.0630511186654932
0.002,-1,0.666666666666649,0.666666666666649,0.666666666666671,-0.468598200213751,-0.468598200213751,-0.46859820021374,0.258896524811936,0.258896524811936,0.258896524811936,-0.210238358064317,-0.210238358064317,-0.210238358064313,0.167584880008992,0.167584880008992,0.167584880008991,-0.153381295060625,-0.153381295060625,-0.153381295060624,0.144806230368872,0.144806230368872,0.144806230368875,0.0629855986430685,0.0629855986430686,0.0629855986430693
0.0025,-1,0.666666666666679,0.666666666666679,0.666666666666679,-0.46859787246318,-0.46859787246318,-0.468597872463174,0.258823632212488,0.258823632212488,0.258823632212491,-0.210107745610847,-0.210107745610847,-0.21010774561085,0.167443218848461,0.167443218848461,0.167443218848463,-0.153218650247267,-0.153218650247267,-0.153218650247267,0.144648167854008,0.144648167854008,0.144648167854012,0.0629200123756011,0.0629200123756011,0.0629200123756013
0.003,-1,0.666666666666649,0.666666666666649,0.666666666666669,-0.468597471423303,-0.468597471423303,-0.468597471423301,0.25875047216091,0.25875047216091,0.258750472160906,-0.209976758009074,-0.209976758009074,-0.209976758009077,0.167301187515021,0.167301187515021,0.167301187515021,-0.153055629501272,-0.153055629501272,-0.153055629501271,0.144489731848776,0.144489731848775,0.144489731848776,0.062854359867836,0.062854359867836,0.0628543598678357
0.0035,-1,0.666666666666665,0.666666666666665,0.666666666666666,-0.468596996927094,-0.468596996927094,-0.468596996927085,0.258677044268473,0.258677044268473,0.258677044268472,-0.209845394805956,-0.209845394805956,-0.209845394805959,0.16715878572336,0.16715878572336,0.167158785723359,-0.152892232708786,-0.152892232708786,-0.152892232708784,0.14433092223335,0.14433092223335,0.144330922233349,0.0627886411252683,0.0627886411252683,0.0627886411252669
0.004,-1,0.666666666666687,0.666666666666688,0.666666666666656,-0.468596448807188,-0.468596448807189,-0.468596448807194,0.258603348146745,0.258603348146746,0.258603348146746,-0.209713655549572,-0.209713655549572,-0.209713655549573,0.167016013190238,0.167016013190239,0.167016013190238,-0.152728459759114,-0.152728459759115,-0.152728459759117,0.144171738891125,0.144171738891126,0.144171738891127,0.0627228561541323,0.0627228561541326,0.0627228561541332
0.0045,-1,0.666666666666657,0.666666666666657,0.666666666666663,-0.468595826895896,-0.468595826895897,-0.468595826895887,0.258529383407576,0.258529383407576,0.258529383407577,-0.209581539789126,-0.209581539789126,-0.20958153978913,0.166872869634497,0.166872869634498,0.166872869634501,-0.152564310544758,-0.152564310544758,-0.152564310544758,0.144012181708739,0.144012181708739,0.14401218170874,0.0626570049614213,0.0626570049614213,0.0626570049614207
0.005,-1,0.666666666666681,0.666666666666681,0.666666666666691,-0.468595131025176,-0.468595131025176,-0.468595131025171,0.258455149663098,0.258455149663098,0.258455149663102,-0.209449047074993,-0.209449047074993,-0.209449047074993,0.166729354777104,0.166729354777104,0.166729354777106,-0.152399784961414,-0.152399784961414,-0.152399784961416,0.143852250576084,0.143852250576085,0.143852250576086,0.0625910875548726,0.0625910875548727,0.0625910875548727
0.0055,-1,0.666666666666659,0.666666666666659,0.666666666666666,-0.468594361026661,-0.468594361026661,-0.468594361026661,0.258380646525741,0.258380646525741,0.25838064652574,-0.209316176958679,-0.209316176958679,-0.20931617695868,0.166585468341111,0.166585468341111,0.166585468341113,-0.15223488290801,-0.15223488290801,-0.152234882908013,0.14369194538634,0.14369194538634,0.14369194538634,0.0625251039429874,0.0625251039429875,0.0625251039429868
